,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,name1,name2,name3,name4,make
170,230,4,1400,7800,2592,185,75,1,pontiac,astro,,,,pontiac astro  
171,240,4,1340,9600,2702,135,75,3,toyota,corona,,,,toyota corona  
172,250,4,9000,7100,2223,165,75,2,volkswagen,dasher,,,,volkswagen dasher  
173,240,4,1190,9700,2545,170,75,3,datsun,710,,,,datsun 710  
174,180,6,1710,9700,2984,145,75,1,ford,pinto,,,,ford pinto  
175,290,4,9000,7000,1937,140,75,2,volkswagen,rabbit,,,,volkswagen rabbit  
176,190,6,2320,9000,3211,170,75,1,amc,pacer,,,,amc pacer  
177,230,4,1150,9500,2694,150,75,2,audi,100ls,,,,audi 100ls  
178,230,4,1200,8800,2957,170,75,2,peugeot,504,,,,peugeot 504  
179,220,4,1210,9800,2945,145,75,2,volvo,244dl,,,,volvo 244dl  
180,250,4,1210,1150,2671,135,75,2,saab,99le,,,,saab 99le  
181,330,4,9100,5300,1795,175,75,3,honda,civic,cvcc,,,honda civic cvcc 
182,280,4,1070,8600,2464,155,76,2,fiat,131,,,,fiat 131  
183,250,4,1160,8100,2220,169,76,2,opel,1900,,,,opel 1900  
184,250,4,1400,9200,2572,149,76,1,capri,ii,,,,capri ii  
185,260,4,9800,7900,2255,177,76,1,dodge,colt,,,,dodge colt  
186,270,4,1010,8300,2202,153,76,2,renault,12tl,,,,renault 12tl  
187,175,8,3050,1400,4215,130,76,1,chevrolet,chevelle,malibu,classic,,chevrolet chevelle malibu classic
188,160,8,3180,1500,4190,130,76,1,dodge,coronet,brougham,,,dodge coronet brougham 
189,155,8,3040,1200,3962,139,76,1,amc,matador,,,,amc matador  
190,145,8,3510,1520,4215,128,76,1,ford,gran,torino,,,ford gran torino 
191,220,6,2250,1000,3233,154,76,1,plymouth,valiant,,,,plymouth valiant  
192,220,6,2500,1050,3353,145,76,1,chevrolet,nova,,,,chevrolet nova  
193,240,6,2000,8100,3012,176,76,1,ford,maverick,,,,ford maverick  
194,225,6,2320,9000,3085,176,76,1,amc,hornet,,,,amc hornet  
195,290,4,8500,5200,2035,222,76,1,chevrolet,chevette,,,,chevrolet chevette  
196,245,4,9800,6000,2164,221,76,1,chevrolet,woody,,,,chevrolet woody  
197,290,4,9000,7000,1937,142,76,2,vw,rabbit,,,,vw rabbit  
198,330,4,9100,5300,1795,174,76,3,honda,civic,,,,honda civic  
199,200,6,2250,1000,3651,177,76,1,dodge,aspen,se,,,dodge aspen se 
200,180,6,2500,7800,3574,210,76,1,ford,granada,ghia,,,ford granada ghia 
201,185,6,2500,1100,3645,162,76,1,pontiac,ventura,sj,,,pontiac ventura sj 
202,175,6,2580,9500,3193,178,76,1,amc,pacer,dl,,,amc pacer dl 
203,295,4,9700,7100,1825,122,76,2,volkswagen,rabbit,,,,volkswagen rabbit  
204,320,4,8500,7000,1990,170,76,3,datsun,b210,,,,datsun b210  
205,280,4,9700,7500,2155,164,76,3,toyota,corolla,,,,toyota corolla  
206,265,4,1400,7200,2565,136,76,1,ford,pinto,,,,ford pinto  
207,200,4,1300,1020,3150,157,76,2,volvo,245,,,,volvo 245  
208,130,8,3180,1500,3940,132,76,1,plymouth,volare,premier,v8,,plymouth volare premier v8
209,190,4,1200,8800,3270,219,76,2,peugeot,504,,,,peugeot 504  
210,190,6,1560,1080,2930,155,76,3,toyota,mark,ii,,,toyota mark ii 
211,165,6,1680,1200,3820,167,76,2,mercedesbenz,280s,,,,mercedesbenz 280s  
212,165,8,3500,1800,4380,121,76,1,cadillac,seville,,,,cadillac seville  
213,130,8,3500,1450,4055,120,76,1,chevy,c10,,,,chevy c10  
214,130,8,3020,1300,3870,150,76,1,ford,f108,,,,ford f108  
215,130,8,3180,1500,3755,140,76,1,dodge,d100,,,,dodge d100  
216,315,4,9800,6800,2045,185,77,3,honda,accord,cvcc,,,honda accord cvcc 
217,300,4,1110,8000,2155,148,77,1,buick,opel,isuzu,deluxe,,buick opel isuzu deluxe
218,360,4,7900,5800,1825,186,77,2,renault,5,gtl,,,renault 5 gtl 
219,255,4,1220,9600,2300,155,77,1,plymouth,arrow,gs,,,plymouth arrow gs 
220,335,4,8500,7000,1945,168,77,3,datsun,f10,hatchback,,,datsun f10 hatchback 
221,175,8,3050,1450,3880,125,77,1,chevrolet,caprice,classic,,,chevrolet caprice classic 
222,170,8,2600,1100,4060,190,77,1,oldsmobile,cutlass,supreme,,,oldsmobile cutlass supreme 
223,155,8,3180,1450,4140,137,77,1,dodge,monaco,brougham,,,dodge monaco brougham 
224,150,8,3020,1300,4295,149,77,1,mercury,cougar,brougham,,,mercury cougar brougham 
225,175,6,2500,1100,3520,164,77,1,chevrolet,concours,,,,chevrolet concours  
226,205,6,2310,1050,3425,169,77,1,buick,skylark,,,,buick skylark  
227,190,6,2250,1000,3630,177,77,1,plymouth,volare,custom,,,plymouth volare custom 
228,185,6,2500,9800,3525,190,77,1,ford,granada,,,,ford granada  
229,160,8,4000,1800,4220,111,77,1,pontiac,grand,prix,lj,,pontiac grand prix lj
230,155,8,3500,1700,4165,114,77,1,chevrolet,monte,carlo,landau,,chevrolet monte carlo landau
231,155,8,4000,1900,4325,122,77,1,chrysler,cordoba,,,,chrysler cordoba  
232,160,8,3510,1490,4335,145,77,1,ford,thunderbird,,,,ford thunderbird  
233,290,4,9700,7800,1940,145,77,2,volkswagen,rabbit,custom,,,volkswagen rabbit custom 
234,245,4,1510,8800,2740,160,77,1,pontiac,sunbird,coupe,,,pontiac sunbird coupe 
235,260,4,9700,7500,2265,182,77,3,toyota,corolla,liftback,,,toyota corolla liftback 
236,255,4,1400,8900,2755,158,77,1,ford,mustang,ii,22,,ford mustang ii 22
237,305,4,9800,6300,2051,170,77,1,chevrolet,chevette,,,,chevrolet chevette  
238,335,4,9800,8300,2075,159,77,1,dodge,colt,mm,,,dodge colt mm 
239,300,4,9700,6700,1985,164,77,3,subaru,dl,,,,subaru dl  
240,305,4,9700,7800,2190,141,77,2,volkswagen,dasher,,,,volkswagen dasher  
241,220,6,1460,9700,2815,145,77,3,datsun,810,,,,datsun 810  
242,215,4,1210,1100,2600,128,77,2,bmw,320i,,,,bmw 320i  
243,215,3,8000,1100,2720,135,77,3,mazda,rx4,,,,mazda rx4  
244,431,4,9000,4800,1985,215,78,2,volkswagen,rabbit,custom,diesel,,volkswagen rabbit custom diesel
245,361,4,9800,6600,1800,144,78,1,ford,fiesta,,,,ford fiesta  
246,328,4,7800,5200,1985,194,78,3,mazda,glc,deluxe,,,mazda glc deluxe 
247,394,4,8500,7000,2070,186,78,3,datsun,b210,gx,,,datsun b210 gx 
248,361,4,9100,6000,1800,164,78,3,honda,civic,cvcc,,,honda civic cvcc 
249,199,8,2600,1100,3365,155,78,1,oldsmobile,cutlass,salon,brougham,,oldsmobile cutlass salon brougham
250,194,8,3180,1400,3735,132,78,1,dodge,diplomat,,,,dodge diplomat  
251,202,8,3020,1390,3570,128,78,1,mercury,monarch,ghia,,,mercury monarch ghia 
252,192,6,2310,1050,3535,192,78,1,pontiac,phoenix,lj,,,pontiac phoenix lj 
253,205,6,2000,9500,3155,182,78,1,chevrolet,malibu,,,,chevrolet malibu  
254,202,6,2000,8500,2965,158,78,1,ford,fairmont,auto,,,ford fairmont auto 
255,251,4,1400,8800,2720,154,78,1,ford,fairmont,man,,,ford fairmont man 
256,205,6,2250,1000,3430,172,78,1,plymouth,volare,,,,plymouth volare  
257,194,6,2320,9000,3210,172,78,1,amc,concord,,,,amc concord  
258,206,6,2310,1050,3380,158,78,1,buick,century,special,,,buick century special 
259,208,6,2000,8500,3070,167,78,1,mercury,zephyr,,,,mercury zephyr  
260,186,6,2250,1100,3620,187,78,1,dodge,aspen,,,,dodge aspen  
261,181,6,2580,1200,3410,151,78,1,amc,concord,dl,,,amc concord dl 
262,192,8,3050,1450,3425,132,78,1,chevrolet,monte,carlo,landau,,chevrolet monte carlo landau
263,177,6,2310,1650,3445,134,78,1,buick,regal,sport,coupe,turbo,buick regal sport coupe
264,181,8,3020,1390,3205,112,78,1,ford,futura,,,,ford futura  
265,175,8,3180,1400,4080,137,78,1,dodge,magnum,xe,,,dodge magnum xe 
266,300,4,9800,6800,2155,165,78,1,chevrolet,chevette,,,,chevrolet chevette  
267,275,4,1340,9500,2560,142,78,3,toyota,corona,,,,toyota corona  
268,272,4,1190,9700,2300,147,78,3,datsun,510,,,,datsun 510  
269,309,4,1050,7500,2230,145,78,1,dodge,omni,,,,dodge omni  
270,211,4,1340,9500,2515,148,78,3,toyota,celica,gt,liftback,,toyota celica gt liftback
271,232,4,1560,1050,2745,167,78,1,plymouth,sapporo,,,,plymouth sapporo  
272,238,4,1510,8500,2855,176,78,1,oldsmobile,starfire,sx,,,oldsmobile starfire sx 
273,239,4,1190,9700,2405,149,78,3,datsun,200sx,,,,datsun 200sx  
274,203,5,1310,1030,2830,159,78,2,audi,5000,,,,audi 5000  
275,170,6,1630,1250,3140,136,78,2,volvo,264gl,,,,volvo 264gl  
276,216,4,1210,1150,2795,157,78,2,saab,99gle,,,,saab 99gle  
277,162,6,1630,1330,3410,158,78,2,peugeot,604sl,,,,peugeot 604sl  
278,315,4,8900,7100,1990,149,78,2,volkswagen,scirocco,,,,volkswagen scirocco  
279,295,4,9800,6800,2135,166,78,3,honda,accord,lx,,,honda accord lx 
280,215,6,2310,1150,3245,154,79,1,pontiac,lemans,v6,,,pontiac lemans v6 
281,198,6,2000,8500,2990,182,79,1,mercury,zephyr,6,,,mercury zephyr 6 
282,223,4,1400,8800,2890,173,79,1,ford,fairmont,4,,,ford fairmont 4 
283,202,6,2320,9000,3265,182,79,1,amc,concord,dl,6,,amc concord dl 6
284,206,6,2250,1100,3360,166,79,1,dodge,aspen,6,,,dodge aspen 6 
285,170,8,3050,1300,3840,154,79,1,chevrolet,caprice,classic,,,chevrolet caprice classic 
286,176,8,3020,1290,3725,134,79,1,ford,ltd,landau,,,ford ltd landau 
287,165,8,3510,1380,3955,132,79,1,mercury,grand,marquis,,,mercury grand marquis 
288,182,8,3180,1350,3830,152,79,1,dodge,st,regis,,,dodge st regis 
289,169,8,3500,1550,4360,149,79,1,buick,estate,wagon,sw,,buick estate wagon sw
290,155,8,3510,1420,4054,143,79,1,ford,country,squire,sw,,ford country squire sw
291,192,8,2670,1250,3605,150,79,1,chevrolet,malibu,classic,sw,,chevrolet malibu classic sw
292,185,8,3600,1500,3940,130,79,1,chrysler,lebaron,town,country,sw,chrysler lebaron town country
293,319,4,8900,7100,1925,140,79,2,vw,rabbit,custom,,,vw rabbit custom 
294,341,4,8600,6500,1975,152,79,3,maxda,glc,deluxe,,,maxda glc deluxe 
295,357,4,9800,8000,1915,144,79,1,dodge,colt,hatchback,custom,,dodge colt hatchback custom
296,274,4,1210,8000,2670,150,79,1,amc,spirit,dl,,,amc spirit dl 
297,254,5,1830,7700,3530,201,79,2,mercedes,benz,300d,,,mercedes benz 300d 
298,230,8,3500,1250,3900,174,79,1,cadillac,eldorado,,,,cadillac eldorado  
299,272,4,1410,7100,3190,248,79,2,peugeot,504,,,,peugeot 504  
300,239,8,2600,9000,3420,222,79,1,oldsmobile,cutlass,salon,brougham,,oldsmobile cutlass salon brougham
301,342,4,1050,7000,2200,132,79,1,plymouth,horizon,,,,plymouth horizon  
302,345,4,1050,7000,2150,149,79,1,plymouth,horizon,tc3,,,plymouth horizon tc3 
303,318,4,8500,6500,2020,192,79,3,datsun,210,,,,datsun 210  
304,373,4,9100,6900,2130,147,79,2,fiat,strada,custom,,,fiat strada custom 
305,284,4,1510,9000,2670,160,79,1,buick,skylark,limited,,,buick skylark limited 
306,288,6,1730,1150,2595,113,79,1,chevrolet,citation,,,,chevrolet citation  
307,268,6,1730,1150,2700,129,79,1,oldsmobile,omega,brougham,,,oldsmobile omega brougham 
308,335,4,1510,9000,2556,132,79,1,pontiac,phoenix,,,,pontiac phoenix  
309,415,4,9800,7600,2144,147,80,2,vw,rabbit,,,,vw rabbit  
310,381,4,8900,6000,1968,188,80,3,toyota,corolla,tercel,,,toyota corolla tercel 
311,321,4,9800,7000,2120,155,80,1,chevrolet,chevette,,,,chevrolet chevette  
312,372,4,8600,6500,2019,164,80,3,datsun,310,,,,datsun 310  
313,280,4,1510,9000,2678,165,80,1,chevrolet,citation,,,,chevrolet citation  
314,264,4,1400,8800,2870,181,80,1,ford,fairmont,,,,ford fairmont  
315,243,4,1510,9000,3003,201,80,1,amc,concord,,,,amc concord  
316,191,6,2250,9000,3381,187,80,1,dodge,aspen,,,,dodge aspen  
317,343,4,9700,7800,2188,158,80,2,audi,4000,,,,audi 4000  
318,298,4,1340,9000,2711,155,80,3,toyota,corona,liftback,,,toyota corona liftback 
319,313,4,1200,7500,2542,175,80,3,mazda,626,,,,mazda 626  
320,370,4,1190,9200,2434,150,80,3,datsun,510,hatchback,,,datsun 510 hatchback 
321,322,4,1080,7500,2265,152,80,3,toyota,corolla,,,,toyota corolla  
322,466,4,8600,6500,2110,179,80,3,mazda,glc,,,,mazda glc  
323,279,4,1560,1050,2800,144,80,1,dodge,colt,,,,dodge colt  
324,408,4,8500,6500,2110,192,80,3,datsun,210,,,,datsun 210  
325,443,4,9000,4800,2085,217,80,2,vw,rabbit,c,diesel,,vw rabbit c diesel
326,434,4,9000,4800,2335,237,80,2,vw,dasher,diesel,,,vw dasher diesel 
327,364,5,1210,6700,2950,199,80,2,audi,5000s,diesel,,,audi 5000s diesel 
